Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1967   83.5  109.1  106.6   56.1  131.8   50.8   78.9   83.9  116.5  196.8   92.9   97.5   351.7   294.5   213.5   406.1  1204.2
1968  104.4   53.7   92.8   67.2   84.2   79.2   97.9   67.8  135.4  132.2   75.8   81.2   255.5   244.3   244.9   343.4  1071.8
1969  111.6   72.2   59.7   64.4  108.4   67.2   70.6   76.8   70.1   59.0  144.1   98.2   265.0   232.5   214.6   273.2  1002.3
1970  108.7  107.2   78.0   92.8   41.7   53.6   98.5   94.7   97.1  111.1  174.1   63.0   314.1   212.5   246.8   382.3  1120.4
1971  113.4   59.1   75.8   54.8   58.0   89.1   57.4  106.4   37.0  102.7  113.6   68.4   235.5   188.5   252.9   253.2   935.6
1972  116.9   81.4   77.8   89.0   89.5   92.5   57.8   52.9   36.2   48.1  126.3  118.3   266.6   256.3   203.2   210.6   986.8
1973   69.8   68.9   42.7   72.2   85.6   68.3   86.5   83.0   86.6   62.2   96.8  106.5   257.0   200.5   237.7   245.6   928.9
1974  172.5  112.2   53.1   14.6   55.5   64.8   87.8   93.0  145.1   95.1  148.1  139.1   391.2   123.2   245.6   388.3  1180.9
1975  168.7   36.5   70.5   80.8   41.8   35.7   80.1   61.7  128.6   53.5   95.7   67.9   344.3   193.1   177.5   277.9   921.6
1976  111.3   61.9   77.4   35.8   84.5   38.7   44.4   24.2  141.7  163.4   98.4   92.6   241.1   197.6   107.3   403.4   974.1
1977  103.4  132.4   94.6   80.4   56.1   77.1   38.9   97.0   80.7  107.0  142.3   93.7   328.4   231.1   213.0   330.0  1103.6
1978  126.9   85.0  114.3   47.9   38.7   62.0   84.9   77.1  102.3   52.4  113.6  157.4   305.5   200.9   223.9   268.4  1062.4
1979   94.5   53.6  144.0   75.8  107.3   51.1   57.3  107.2   73.4  101.5  136.0  170.3   305.5   327.1   215.6   310.9  1171.9
1980   90.7   93.8  102.7   18.4   28.4  125.4   84.4  103.7  109.3  148.4  119.5  130.8   354.8   149.4   313.5   377.3  1155.6
